time,open,high,low,close
1756805400,6469.75,6477.25,6465.78,6472.59
1756805700,6479.49,6490.7,6478.2,6485.01
1756806000,6481.94,6495.54,6477.65,6477.86
1756806300,6498.04,6500.34,6491.89,6498.72
1756806600,6493.55,6504.23,6487.09,6495.18
1756806900,6503.5,6508.67,6493.95,6506.28
1756807200,6501.93,6509.68,6490.62,6501.52
1756807500,6492.87,6495.82,6491.33,6492.49
1756807800,6494.82,6497.65,6489.1,6490.26
1756808100,6503.5,6515.91,6498.51,6507.01
1756808400,6503.5,6504.42,6494.56,6495.37
1756808700,6503.5,6509.59,6496.04,6507.01
1756809000,6503.5,6506.28,6502.76,6502.97
1756809300,6502.22,6507.8,6496.99,6498.08
1756809600,6501.35,6505.82,6490.63,6499.13
1756809900,6503.5,6507.57,6500.92,6506.37
1756810200,6488.74,6493.12,6471.09,6483.72
1756810500,6487.6,6499.78,6473.11,6473.95
1756810800,6478.55,6482.21,6474.26,6474.31
1756811100,6473.85,6480.22,6461.92,6468.27
1756811400,6473.99,6476.71,6467.52,6474.3
1756811700,6483.13,6485.34,6474.19,6480.65
1756812000,6486.54,6493.48,6477.63,6478.47
1756812300,6501.97,6503.69,6496.58,6502.15
1756812600,6487.57,6498.02,6482.25,6491.33
1756812900,6477.08,6481.54,6468.4,6478.06
1756813200,6485.66,6505.94,6473.87,6484.7
1756813500,6487.3,6492.67,6472.55,6482.65
1756813800,6503.48,6513.72,6495.05,6504.07
1756814100,6493.58,6499.21,6491.43,6497.56
1756814400,6499.52,6502.01,6493.38,6500.77
1756814700,6481.36,6486.69,6478.14,6478.92
1756815000,6463.86,6476.99,6461.55,6468.69
1756815300,6460.88,6470.81,6450.38,6459.32
1756815600,6463.92,6468.75,6456.85,6467.66
1756815900,6464.74,6476.08,6458.07,6472.47
1756816200,6439.93,6447.37,6437.21,6446.67
1756816500,6447.35,6458.15,6443.19,6456.52
1756816800,6444.2,6451.86,6441.21,6441.98
1756817100,6442.45,6444.07,6439.01,6440.43
1756817400,6447.52,6461.96,6442.69,6447.03
1756817700,6451.15,6452.28,6438.86,6444.25
1756818000,6458.8,6470.37,6444.71,6466.97
1756818300,6462.1,6474.09,6457.77,6460.34
1756818600,6476.75,6486.59,6465.37,6474.09
1756818900,6467.5,6473.3,6456.45,6460.36
1756819200,6482.01,6509.49,6474.3,6493.26
1756819500,6484.82,6487.11,6483.42,6486.18
1756819800,6484.94,6498.14,6473.58,6493.22
1756820100,6474.93,6484.75,6456.64,6478.76
1756820400,6451.62,6452.87,6442.89,6451.92
1756820700,6446.39,6451.94,6443.2,6447.01
1756821000,6436.75,6440.17,6434.48,6435.9
1756821300,6424.59,6433.12,6422.5,6428.3
1756821600,6430.01,6434.6,6419.95,6425.13
1756821900,6424.0,6432.32,6423.39,6425.2
1756822200,6421.14,6428.75,6416.59,6421.96
1756822500,6424.91,6425.91,6420.83,6423.45
1756822800,6442.25,6450.81,6426.37,6432.27
1756823100,6424.01,6432.65,6416.94,6430.46
1756823400,6428.75,6439.39,6423.56,6426.82
1756823700,6444.31,6461.55,6436.77,6454.44
1756824000,6475.72,6479.72,6460.98,6468.41
1756824300,6475.03,6476.93,6465.62,6468.21
1756824600,6477.52,6478.05,6466.46,6476.75
1756824900,6468.44,6475.68,6458.96,6464.56
1756825200,6476.42,6481.68,6476.23,6476.72
1756825500,6471.48,6473.54,6470.64,6470.83
1756825800,6484.4,6488.77,6479.96,6487.87
1756826100,6469.36,6469.53,6466.43,6467.73
1756826400,6466.36,6473.24,6459.96,6470.74
1756826700,6460.58,6470.22,6451.97,6464.39
1756827000,6448.12,6463.66,6439.37,6456.45
1756827300,6454.65,6465.18,6451.94,6459.92
1756827600,6444.02,6446.53,6439.44,6441.86
1756827900,6445.11,6453.78,6432.78,6448.32
1756828200,6434.54,6435.37,6421.44,6422.18
1756828500,6433.43,6439.56,6425.97,6428.48
1756828800,6440.69,6449.92,6431.49,6443.61
1756891800,6449.24,6453.31,6449.03,6450.67
1756892100,6452.3,6454.56,6451.19,6451.88
1756892400,6454.92,6455.89,6450.37,6454.28
1756892700,6444.05,6445.92,6442.92,6443.37
1756893000,6443.93,6450.77,6438.25,6446.76
1756893300,6448.23,6449.17,6442.58,6446.07
1756893600,6444.86,6444.88,6441.76,6442.14
1756893900,6438.32,6442.17,6437.14,6441.55
1756894200,6434.09,6434.58,6430.31,6432.72
1756894500,6431.96,6435.19,6430.73,6431.79
1756894800,6435.1,6435.62,6434.48,6434.87
1756895100,6436.32,6437.95,6431.57,6437.06
1756895400,6442.4,6444.66,6438.36,6441.71
1756895700,6447.56,6448.17,6445.9,6447.77
1756896000,6450.62,6453.0,6448.0,6448.43
1756896300,6454.8,6455.42,6451.74,6454.31
1756896600,6461.1,6462.76,6459.72,6460.34
1756896900,6461.56,6466.91,6460.15,6466.44
1756897200,6457.76,6460.75,6455.67,6457.06
1756897500,6456.32,6458.78,6456.09,6457.45
1756897800,6458.78,6463.55,6454.76,6460.88
1756898100,6452.97,6456.7,6450.48,6453.26
1756898400,6447.87,6448.95,6447.85,6448.28
1756898700,6446.8,6450.46,6445.35,6448.93
1756899000,6448.13,6450.78,6444.78,6449.58
1756899300,6452.25,6456.36,6450.19,6456.28
1756899600,6455.1,6462.32,6453.95,6459.25
