time,open,high,low,close
1770267600,4881.7001953125,4894.39990234375,4881.39990234375,4891.89990234375
1770267780,4890.7001953125,4893.39990234375,4889.0,4889.39990234375
1770267960,4888.0,4889.10009765625,4873.5,4875.2001953125
1770268140,4873.7001953125,4885.10009765625,4872.89990234375,4883.7001953125
1770268320,4882.0,4882.60009765625,4866.60009765625,4869.7998046875
1770268500,4871.5,4878.0,4868.0,4875.0
1770268680,4875.5,4876.89990234375,4866.89990234375,4870.89990234375
1770268860,4870.89990234375,4876.10009765625,4858.60009765625,4874.89990234375
1770269040,4874.2998046875,4877.2001953125,4869.7001953125,4874.89990234375
1770269220,4874.7998046875,4888.39990234375,4873.7001953125,4887.10009765625
1770269400,4887.0,4887.10009765625,4842.0,4851.60009765625
1770269580,4852.2001953125,4866.5,4848.60009765625,4866.0
1770269760,4865.7001953125,4874.5,4850.0,4872.60009765625
1770269940,4871.10009765625,4883.89990234375,4868.2001953125,4880.7001953125
1770270120,4880.0,4905.0,4879.60009765625,4903.60009765625
1770270300,4904.5,4923.7001953125,4902.7001953125,4905.0
1770270480,4905.0,4916.0,4904.2001953125,4914.5
1770270660,4913.2001953125,4922.89990234375,4908.2998046875,4922.89990234375
1770270840,4923.39990234375,4923.7001953125,4905.2001953125,4906.7001953125
1770271020,4908.5,4913.2001953125,4902.60009765625,4911.7998046875
1770271200,4914.10009765625,4914.10009765625,4893.0,4905.89990234375
1770271380,4906.2998046875,4911.0,4904.2998046875,4907.60009765625
1770271560,4909.0,4929.0,4907.10009765625,4924.0
1770271740,4924.0,4934.0,4923.7998046875,4930.2998046875
1770271920,4929.10009765625,4937.5,4923.7998046875,4927.10009765625
1770272100,4926.39990234375,4930.7998046875,4917.2998046875,4928.2998046875
1770272280,4929.2998046875,4941.10009765625,4925.5,4928.89990234375
1770272460,4930.10009765625,4939.0,4928.2998046875,4935.5
1770272640,4935.0,4943.89990234375,4927.60009765625,4941.39990234375
1770272820,4940.2001953125,4947.39990234375,4937.7998046875,4947.0
1770273000,4947.0,4947.39990234375,4935.39990234375,4937.2001953125
1770273180,4936.7001953125,4944.10009765625,4933.2001953125,4933.7998046875
1770273360,4934.60009765625,4938.7001953125,4926.2001953125,4938.7001953125
1770273540,4937.7001953125,4944.0,4937.2998046875,4941.5
1770273720,4940.89990234375,4948.2001953125,4939.89990234375,4947.0
1770273900,4947.0,4951.89990234375,4937.89990234375,4937.89990234375
1770274080,4938.60009765625,4943.10009765625,4931.2001953125,4933.0
1770274260,4934.39990234375,4935.7998046875,4924.2001953125,4927.2998046875
1770274440,4927.60009765625,4928.60009765625,4915.0,4928.39990234375
1770274620,4928.7998046875,4940.2998046875,4928.2998046875,4938.7998046875
1770274800,4937.2001953125,4946.0,4933.2001953125,4945.10009765625
1770274980,4945.7998046875,4947.5,4940.5,4945.0
1770275160,4945.0,4948.2001953125,4940.39990234375,4944.39990234375
1770275340,4944.2001953125,4950.7998046875,4942.60009765625,4948.39990234375
1770275520,4948.39990234375,4949.7001953125,4939.5,4940.5
1770275700,4940.2001953125,4945.7001953125,4936.0,4942.5
1770275880,4942.2998046875,4943.5,4932.2001953125,4933.5
1770276060,4933.7001953125,4939.89990234375,4929.2001953125,4936.89990234375
1770276240,4937.7998046875,4960.2001953125,4936.89990234375,4955.39990234375
1770276420,4956.0,4959.10009765625,4948.10009765625,4950.7998046875
1770276600,4951.2998046875,4953.10009765625,4940.0,4940.7001953125
1770276780,4941.2998046875,4941.7998046875,4933.39990234375,4937.39990234375
1770276960,4937.7001953125,4940.0,4925.7998046875,4929.10009765625
1770277140,4927.5,4930.0,4917.2001953125,4919.60009765625
1770277320,4920.2998046875,4930.0,4914.7001953125,4929.7998046875
1770277500,4929.10009765625,4933.7001953125,4925.60009765625,4932.7001953125
1770277680,4933.7001953125,4933.7998046875,4927.5,4932.89990234375
1770277860,4933.0,4939.0,4933.0,4936.7998046875
1770278040,4937.10009765625,4937.7001953125,4931.89990234375,4935.7998046875
1770278220,4934.2998046875,4938.60009765625,4931.89990234375,4934.2998046875
1770278400,4934.10009765625,4941.7001953125,4933.2001953125,4936.10009765625
1770278580,4937.0,4948.2001953125,4937.0,4939.2998046875
1770278760,4938.60009765625,4940.60009765625,4932.0,4933.2001953125
1770278940,4933.89990234375,4955.2998046875,4933.39990234375,4954.7998046875
1770279120,4955.5,4961.2001953125,4954.2998046875,4959.2001953125
1770279300,4959.89990234375,4962.0,4953.2998046875,4954.2001953125
1770279480,4954.7001953125,4959.10009765625,4950.0,4954.10009765625
1770279660,4953.2001953125,4961.0,4952.89990234375,4959.2998046875
1770279840,4958.2998046875,4958.2998046875,4939.2998046875,4949.60009765625
1770280020,4950.2998046875,4950.2998046875,4939.2001953125,4940.60009765625
1770280200,4941.39990234375,4948.10009765625,4936.7998046875,4942.39990234375
1770280380,4943.2001953125,4949.89990234375,4938.2998046875,4944.7998046875
1770280560,4943.39990234375,4945.7001953125,4938.0,4940.60009765625
1770280740,4940.5,4945.2001953125,4937.2998046875,4942.0
1770280920,4941.5,4944.2998046875,4939.2001953125,4943.0
1770281100,4943.2998046875,4943.5,4935.0,4936.39990234375
1770281280,4936.2001953125,4936.2001953125,4928.0,4929.7001953125
1770281460,4930.0,4938.2001953125,4929.60009765625,4930.0
1770281640,4929.0,4934.5,4921.39990234375,4934.5
1770281820,4935.10009765625,4939.39990234375,4931.2001953125,4934.0
1770282000,4934.39990234375,4937.10009765625,4910.7001953125,4921.60009765625
1770282180,4921.60009765625,4921.60009765625,4897.7001953125,4900.7998046875
1770282360,4901.7998046875,4907.7998046875,4895.39990234375,4906.0
1770282540,4904.5,4904.5,4886.2998046875,4886.89990234375
1770282720,4887.5,4898.5,4884.2998046875,4885.2001953125
1770282900,4885.39990234375,4897.0,4884.5,4890.10009765625
1770283080,4890.7998046875,4891.89990234375,4880.5,4882.2001953125
1770283260,4882.7001953125,4904.5,4876.60009765625,4901.0
1770283440,4901.2001953125,4910.39990234375,4897.7001953125,4906.7998046875
1770283620,4908.60009765625,4908.7001953125,4893.0,4896.5
