time,open,high,low,close
1770872880,25334.0,25336.0,25333.0,25336.0
1770873000,25336.0,25336.75,25331.25,25333.5
1770873120,25333.0,25335.25,25332.5,25333.75
1770873240,25333.75,25337.5,25333.25,25337.0
1770873360,25336.0,25337.0,25334.75,25336.25
1770873480,25337.5,25343.5,25336.75,25338.75
1770873600,25338.5,25343.25,25337.5,25341.25
1770873720,25341.75,25341.75,25334.75,25334.75
1770873840,25335.0,25336.25,25332.75,25336.25
1770873960,25336.0,25337.75,25333.75,25333.75
1770874080,25333.5,25337.0,25332.5,25334.25
1770874200,25333.0,25333.5,25329.75,25332.75
1770874320,25332.0,25332.75,25330.5,25331.75
1770874440,25331.5,25332.75,25327.75,25328.25
1770874560,25328.25,25332.5,25328.25,25331.25
1770874680,25330.75,25330.75,25328.25,25330.25
1770874800,25331.0,25338.25,25331.0,25338.25
1770874920,25339.0,25344.75,25339.0,25339.25
1770875040,25337.75,25338.75,25335.75,25338.5
1770875160,25338.0,25341.25,25337.5,25338.0
1770875280,25337.75,25340.25,25337.5,25339.25
1770875400,25339.5,25341.25,25338.75,25339.0
1770875520,25339.25,25339.25,25331.0,25333.0
1770875640,25333.5,25341.25,25333.5,25339.25
1770875760,25339.25,25339.75,25332.75,25334.0
1770875880,25333.5,25338.5,25330.0,25337.0
1770876000,25338.5,25341.75,25334.75,25335.5
1770876120,25334.25,25334.25,25325.5,25327.75
1770876240,25327.75,25329.25,25321.75,25327.75
1770876360,25328.5,25328.5,25321.25,25323.75
1770876480,25324.5,25325.25,25321.75,25323.75
1770876600,25325.25,25329.25,25324.25,25326.25
1770876720,25327.25,25338.75,25327.25,25338.5
1770876840,25339.0,25343.75,25335.75,25339.25
1770876960,25339.5,25344.5,25332.5,25333.5
1770877080,25333.75,25335.5,25323.75,25325.0
1770877200,25325.0,25325.0,25316.25,25317.0
1770877320,25318.0,25320.5,25312.5,25315.0
1770877440,25314.75,25323.75,25314.0,25319.5
1770877560,25319.25,25320.75,25317.75,25318.0
1770877680,25317.5,25326.75,25316.25,25320.25
1770877800,25322.0,25332.5,25304.25,25311.75
1770877920,25313.25,25318.25,25308.5,25309.25
1770878040,25308.75,25309.25,25297.5,25301.5
1770878160,25301.25,25309.0,25301.25,25302.75
1770878280,25302.25,25308.0,25297.5,25305.25
1770878400,25304.25,25305.0,25299.5,25302.25
1770878520,25302.75,25303.75,25295.0,25297.25
1770878640,25297.25,25304.25,25293.0,25302.0
1770878760,25302.5,25303.25,25292.0,25297.5
1770878880,25297.75,25310.0,25297.75,25310.0
1770879000,25309.5,25311.25,25303.5,25308.5
1770879120,25309.25,25315.0,25308.0,25312.25
1770879240,25312.0,25313.75,25309.25,25313.75
1770879360,25313.5,25319.25,25311.75,25318.5
1770879480,25318.25,25323.5,25315.25,25319.75
1770879600,25319.25,25328.0,25315.5,25317.5
1770879720,25318.25,25327.5,25313.0,25325.75
1770879840,25326.25,25336.75,25325.0,25332.75
1770879960,25333.5,25334.5,25327.25,25328.5
1770880080,25327.75,25329.5,25322.0,25326.25
1770880200,25326.75,25328.75,25325.25,25326.25
1770880320,25326.75,25333.5,25326.5,25333.5
1770880440,25334.0,25336.75,25329.0,25332.0
1770880560,25331.75,25338.5,25331.75,25335.75
1770880680,25335.75,25340.25,25332.25,25337.25
1770880800,25337.25,25340.25,25332.0,25334.25
1770880920,25334.75,25342.5,25334.75,25339.25
1770881040,25339.0,25357.25,25338.5,25353.75
1770881160,25354.0,25355.5,25347.5,25348.0
1770881280,25347.75,25352.5,25345.5,25351.25
1770881400,25351.25,25357.25,25350.25,25350.25
1770881520,25350.75,25353.5,25348.25,25352.5
1770881640,25353.0,25353.75,25347.75,25352.25
1770881760,25352.75,25353.5,25349.5,25352.0
1770881880,25350.5,25356.5,25350.25,25350.5
1770882000,25350.75,25352.5,25346.25,25351.5
1770882120,25352.5,25359.25,25351.5,25353.25
1770882240,25352.75,25354.75,25348.0,25349.0
1770882360,25349.75,25350.5,25343.75,25345.0
1770882480,25345.0,25351.5,25345.0,25351.5
1770882600,25351.5,25351.5,25346.0,25348.5
1770882720,25347.75,25347.75,25342.0,25343.0
1770882840,25345.0,25349.0,25343.0,25347.25
1770882960,25347.75,25353.75,25346.75,25352.25
1770883080,25351.25,25354.0,25348.25,25351.0
1770883200,25350.25,25369.0,25350.25,25364.75
1770883320,25366.5,25367.0,25352.75,25362.5
1770883440,25362.5,25364.5,25350.25,25352.75
1770883560,25352.25,25364.0,25348.0,25363.75
1770883680,25364.25,25369.25,25358.5,25363.5
1770883800,25365.0,25367.75,25351.5,25356.25
1770883920,25357.25,25357.25,25339.0,25343.0
1770884040,25343.0,25359.0,25342.0,25353.75
1770884160,25353.75,25356.5,25348.75,25353.75
1770884280,25353.75,25362.0,25352.5,25357.75
1770884400,25358.75,25360.0,25344.75,25348.5
1770884520,25349.0,25350.25,25345.75,25348.75
1770884640,25349.5,25350.0,25342.25,25344.0
1770884760,25344.75,25355.0,25343.0,25343.75
1770884880,25342.25,25346.75,25339.75,25345.75
