time,open,high,low,close,EMA,EMA,S1,R1,RSI Cloud Lead,RSI Cloud Base,RSI Overbought ,Signal RSI Overbought,RSI Oversold,Signal RSI Oversold,Baseline,Cloud Flip Bullish,Cloud Flip Bearish,RSI
1770359400,24597,24614.25,24595.75,24611.5,24595.839442271445,24596.73340282897,25169.25,24407,57.89432758292968,55.09580318386407,70,75,30,25,50,,,61.17516005911096
1770359460,24612.25,24613.5,24596.25,24597.5,24596.060849968584,24596.886722263174,25169.25,24407,54.57803588187981,54.798445016692135,70,75,30,25,50,,,52.86561693007454
1770359520,24597.25,24599,24588.75,24594,24595.78606997277,24596.30937781054,25169.25,24407,51.25821947289721,54.29205505813647,70,75,30,25,50,,,51.00052032752464
1770359580,24594,24594,24584.25,24585.25,24594.38126064307,24594.09750224843,25169.25,24407,45.78671217044227,53.26331133874799,70,75,30,25,50,,,46.57647716272289
1770359640,24584.5,24589.75,24581.25,24585,24593.13042589066,24592.278001798746,25169.25,24407,42.94467270871586,52.355202067440395,70,75,30,25,50,,,46.452491803941044
1770359700,24584.5,24588,24572,24572.5,24590.37970243857,24588.322401438996,25169.25,24407,36.807053680092324,50.79169107248288,70,75,30,25,50,,,40.628869605259034
1770359760,24571.5,24577,24564.75,24568.5,24587.462408780095,24584.357921151197,25169.25,24407,32.50029604590142,49.21229965166801,70,75,30,25,50,,,38.94625541637139
1770359820,24568,24572.75,24566.75,24567.25,24584.76742094275,24580.936336920957,25169.25,24407,29.943879873449504,47.77211355101348,70,75,30,25,50,,,38.41090389675904
1770359880,24567,24569.5,24558.75,24565.5,24582.198431483717,24577.849069536765,25169.25,24407,28.054728551682643,46.419967254361815,70,75,30,25,50,,,37.63101632612597
1770359940,24565.5,24569.25,24556.75,24556.75,24578.80530728589,24573.629255629414,25169.25,24407,24.408444939725747,44.75361794933007,70,75,30,25,50,,,33.92234746662375
1770360000,24556.75,24563,24550.75,24552.5,24575.297932981102,24569.40340450353,25169.25,24407,21.497759306121456,43.087714733043185,70,75,30,25,50,,,32.259343827178455
1770360060,24553,24557.25,24551,24551.5,24572.124875250287,24565.822723602825,25169.25,24407,19.782622100641753,41.59115605080113,70,75,30,25,50,,,31.863524616227792
1770360120,24552,24557.5,24547.25,24549.25,24569.07489188358,24562.50817888226,25169.25,24407,18.30747490754351,40.17147446697256,70,75,30,25,50,,,30.94354417208686
1770360180,24548.5,24558.5,24548,24552,24566.798239632437,24560.406543105808,25169.25,24407,21.263493119585554,39.2781878260723,70,75,30,25,50,,,33.471824660220605
1770360240,24552.5,24560.25,24552,24558,24565.625141014778,24559.925234484646,25169.25,24407,29.728541932386776,39.20663943979748,70,75,30,25,50,,,38.74157492901112
1770360300,24557.75,24562,24555,24559.75,24564.841788879476,24559.890187587716,25169.25,24407,35.78568723352156,39.34291467582302,70,75,30,25,50,,,40.22870370998902
1770360360,24558.5,24558.5,24554.5,24555,24563.52955036221,24558.912150070173,25169.25,24407,35.51874797063726,39.10561458145999,70,75,30,25,50,,,37.563163968100284
1770360420,24554.5,24557,24543.5,24545.25,24561.092276980584,24556.179720056138,25169.25,24407,30.557591520512506,38.260096631232905,70,75,30,25,50,,,32.764229954756885
1770360480,24545.5,24564.75,24544.5,24561.75,24561.179973383172,24557.29377604491,25169.25,24407,41.13389018326439,39.220408515480955,70,75,30,25,50,,,45.46243576309326
1770360540,24562,24564.75,24555.5,24558.75,24560.855976932082,24557.585020835926,25169.25,24407,44.63052666410469,39.83651393635804,70,75,30,25,50,,,43.841199172059106
1770360600,24560,24560.75,24547,24550,24559.40851334114,24556.06801666874,25169.25,24407,41.787642791823686,39.781659763865804,70,75,30,25,50,,,39.42510764266628
1770360660,24549.5,24554,24540.5,24550.25,24558.187378228988,24554.904413334993,25169.25,24407,40.55912409932254,39.75907460399378,70,75,30,25,50,,,39.61227106482562
1770360720,24549.25,24551.75,24542,24544.5,24556.362394465123,24552.823530667993,25169.25,24407,37.0935960485735,39.36402449118339,70,75,30,25,50,,,36.796198757915896
1770360780,24544.75,24554.25,24544.5,24547.75,24555.214075203105,24551.808824534393,25169.25,24407,38.256832301691915,39.37118890062666,70,75,30,25,50,,,39.41775756200792
1770360840,24548.5,24562,24548,24556.5,24555.38553184269,24552.747059627516,25169.25,24407,45.35487642056872,40.2445406921642,70,75,30,25,50,,,45.921327337158175
1770360900,24555.5,24556.5,24542.5,24542.5,24553.66746093033,24550.697647702014,25169.25,24407,41.389439766785586,40.04567115371616,70,75,30,25,50,,,38.75301915380389
1770360960,24543.25,24550.75,24540.5,24549.25,24553.07846613962,24550.408118161613,25169.25,24407,43.74945347621386,40.485582751943596,70,75,30,25,50,,,43.34500814042193
1770361020,24550.5,24560,24549.75,24557.5,24553.66800398767,24551.82649452929,25169.25,24407,49.38128565922078,41.54534711726573,70,75,30,25,50,,,48.43381549185957
1770361080,24557.75,24560.25,24553.25,24554,24553.712270122647,24552.261195623432,25169.25,24407,50.11790656830556,42.20924507720447,70,75,30,25,50,,,46.52458181680628
1770361140,24553,24554.25,24546.75,24547.25,24552.850634106293,24551.258956498747,25169.25,24407,46.79010485165034,42.31518719682629,70,75,30,25,50,,,43.0038109743681
1770361200,24548,24551.25,24535,24547,24552.070549558786,24550.407165198998,25169.25,24407,44.99056267239459,42.38974877921092,70,75,30,25,50,,,42.87439906471102
1770361260,24547,24547.25,24528.75,24530,24549.127809617614,24546.3257321592,25169.25,24407,36.93867901737127,41.42207188730323,70,75,30,25,50,,,35.13217208990329
1770361320,24531,24544,24524.25,24533.75,24547.07743500193,24543.81058572736,25169.25,24407,35.705267401715496,40.939181950492575,70,75,30,25,50,,,37.8003973612233
1770361380,24534.25,24541.75,24514,24516.5,24543.00044366834,24538.348468581888,25169.25,24407,29.977929736412964,39.667522190229064,70,75,30,25,50,,,31.40173374851625
1770361440,24516,24527.75,24515.75,24519.75,24539.900384512563,24534.62877486551,25169.25,24407,29.43170499907542,38.869126328305285,70,75,30,25,50,,,33.67955322580072
1770361500,24520,24533.75,24519.75,24524.25,24537.813666577553,24532.553019892406,25169.25,24407,32.35696847746319,38.594358292068506,70,75,30,25,50,,,36.80836605652946
1770361560,24524.25,24541.5,24523.5,24538.25,24537.87184436721,24533.692415913923,25169.25,24407,41.78402919160855,39.506226923421444,70,75,30,25,50,,,45.43337302721552
1770361620,24538.5,24539.5,24525.75,24527,24536.42226511825,24532.353932731137,25169.25,24407,41.6969286986689,39.6565780728142,70,75,30,25,50,,,40.6338605438671
1770361680,24527,24532.5,24518.75,24528.25,24535.33262976915,24531.53314618491,25169.25,24407,42.34608561016799,39.88568914214879,70,75,30,25,50,,,41.374911092823666
1770361740,24528.75,24529.75,24523.25,24525.25,24533.988279133264,24530.276516947928,25169.25,24407,41.331437968685336,39.911830976081866,70,75,30,25,50,,,40.08175289664685
1770361800,24524.5,24527,24516.5,24516.5,24531.65650858216,24527.521213558342,25169.25,24407,37.29831798046438,39.45673658708917,70,75,30,25,50,,,36.49862305863664
1770361860,24516.5,24519.5,24506.5,24511.5,24528.96897410454,24524.316970846674,25169.25,24407,33.54487209652021,38.808563282749816,70,75,30,25,50,,,34.59543680454401
