Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-3540.5322595665507,0.5681741969488583,2.5167382381013232,-186.34380313508163,-99.95265588177352
MNQ,2min,10,40.0,-126.79240977476638,0.9798929212932638,1.3210929676516971,-12.679240977476638,-2.611799977294838
MNQ,5min,2,100.0,10405.412221788549,inf,0.0,5202.706110894274,975.0284681667107
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,57596.45132886501,1.5162788620514724,2.3702464653905513,179.42819728618383,16.413790304738775
ES,2min,203,53.69458128078818,65805.98145571483,2.0205122609668904,1.7310666544590445,324.1673963335706,25.353181946122042
ES,5min,82,51.21951219512195,30321.380019799646,2.2071166606908803,1.5118355842537374,369.7729270707274,24.145600727040602
ES,15min,15,60.0,6928.009003613621,2.39655278915329,0.35912679376140777,461.86726690757473,50.99414232098271
MES,1min,729,49.519890260631,21468.091567693307,1.4454131719174086,1.2268565684412442,29.448685278042944,8.851670154256551
MES,2min,420,51.90476190476191,12832.506061171538,1.5378219259312835,0.44373787311506646,30.553585859932234,9.60538619096693
MES,5min,195,50.256410256410255,4771.619301850449,1.4255462486939243,0.41442386745182985,24.469842573592047,8.012153617553484
MES,15min,89,50.56179775280899,4142.412099249777,1.7349236189805786,0.35541568598557693,46.54395617134581,10.996974029007003
