Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-1910.6761297832754,0.5421766172995441,1.2871203610959219,-100.56190156754081,-108.53569979774318
MNQ,2min,10,40.0,-137.29620488738294,0.9570582968076158,0.678583569728486,-13.729620488738295,-7.353671179106995
MNQ,5min,2,100.0,5187.926110894276,inf,0.0,2593.963055447138,970.6289808929615
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,26426.035664432453,1.4638574987252273,1.345882429406865,82.32409864309176,14.965245859602145
ES,2min,203,53.20197044334976,31402.82072785747,1.9533276831947253,0.9824317991780962,154.69369816678557,24.100916239359236
ES,5min,82,51.21951219512195,14554.71000989982,2.1322195868505576,0.7977866737044015,177.49646353536366,23.14338734477856
ES,15min,15,60.0,3353.1545018068114,2.3281206347694927,0.18695339688070817,223.54363345378744,49.32009810173665
MES,1min,729,45.541838134430726,5346.735783846665,1.1984645864537364,0.7829642122079585,7.3343426390214885,4.414712288716194
MES,2min,420,47.85714285714286,3312.4530305857857,1.2457729766531227,0.33559443429899904,7.886792929966156,4.944979479948288
MES,5min,195,44.61538461538462,944.7596509252193,1.1488316005158112,0.3693798499098677,4.844921286795996,3.177701640951283
MES,15min,89,49.43820224719101,1413.4960496248896,1.4489159806314855,0.24041555463293154,15.881978085672916,7.506371654141104
