Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,226,28.31858407079646,-23648.660888415125,0.3769943823413748,7.913198357634515,-104.6400924266156,-28.718015696874303
MNQ,2min,204,27.941176470588236,-16677.514056256085,0.44784072916522427,5.776507366376441,-81.75251988360826,-26.511250813684278
MNQ,5min,64,35.9375,8084.458401166701,1.867257171215911,1.3703534272574864,126.3196625182297,10.702793927612166
MNQ,15min,9,66.66666666666666,5188.8369502787455,12.786053876106003,0.12231094820882436,576.5374389198606,121.9729465256004
