Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-5985.316454241456,0.5796051785291403,4.3550093218033075,-315.01665548639244,-95.6538383128614
MNQ,2min,10,40.0,-111.03671710584013,0.9898769887483161,2.2728638340320737,-11.103671710584013,-0.03770343414159815
MNQ,5min,2,100.0,18231.641388129963,inf,0.0,9115.820694064982,978.6764424518196
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,104352.074825514,1.5394360535137654,3.6577329339033855,325.0843452508224,17.126444558613503
ES,2min,203,54.187192118226605,117410.72254750141,2.050097674069044,2.631377148408464,578.3779435837508,25.91260930354673
ES,5min,82,51.21951219512195,53971.38503464936,2.2403056605549256,2.5738955322374983,658.1876223737727,24.60674054029501
ES,15min,15,60.0,12290.290756323842,2.4266355999279945,0.6173868890824379,819.3527170882561,51.75533365919692
MES,1min,729,51.30315500685872,45650.125243463306,1.5682226789600848,1.8714726511859199,62.62019923657518,10.746191799393692
MES,2min,420,53.095238095238095,27112.58560705028,1.6857396710906174,0.6287295673478821,64.55377525488163,11.652552223742516
MES,5min,195,50.256410256410255,10511.908778238278,1.566759816423796,0.6706030990173102,53.90722450378604,10.081213697496556
MES,15min,89,52.80898876404494,8235.786173687116,1.8779828472270548,0.5450771267881629,92.53692329985525,12.493294007878832
