entry_time,exit_time,entry_price,exit_price,direction,contracts,pnl,costs,exit_reason,hold_seconds
1770099000,1770099360,4860.3998046875,4875.2998046875,Long,1,145.75999999999635,3.24,take_profit,360
1770101280,1770101880,4895.4,4905.5,Short,1,-104.24000000000363,3.24,stop_loss,600
1770103440,1770103920,4922.6,4937.5,Long,1,145.75999999999635,3.24,take_profit,480
1770105720,1770106200,4933.6998046875,4943.7998046875,Short,1,-104.24000000000363,3.24,stop_loss,480
1770106320,1770108000,4951.49990234375,4966.39990234375,Long,1,145.75999999999635,3.24,take_profit,1680
1770108960,1770110160,4944.9,4930.0,Short,1,145.75999999999635,3.24,take_profit,1200
1770111360,1770113520,4936.1,4951.0,Long,1,145.75999999999635,3.24,take_profit,2160
1770114480,1770116400,4936.79990234375,4921.89990234375,Short,1,145.75999999999635,3.24,take_profit,1920
1770116640,1770117360,4934.20009765625,4924.10009765625,Long,1,-104.24000000000363,3.24,stop_loss,720
1770117600,1770117960,4918.50009765625,4924.99990234375,Short,1,-68.23804687500727,3.24,opposite_signal,360
1770117960,1770118560,4924.99990234375,4939.89990234375,Long,1,145.75999999999635,3.24,take_profit,600
1770119520,1770119760,4922.29990234375,4932.39990234375,Short,1,-104.24000000000363,3.24,stop_loss,240
1770121080,1770121440,4936.00009765625,4921.10009765625,Short,1,145.75999999999635,3.24,take_profit,360
1770121920,1770123720,4937.3001953125,4927.2001953125,Long,1,-104.24000000000363,3.24,stop_loss,1800
1770126720,1770128040,4953.6001953125,4938.7001953125,Short,1,145.75999999999635,3.24,take_profit,1320
1770130320,1770130560,4949.6,4939.5,Long,1,-104.24000000000363,3.24,stop_loss,240
1770132000,1770133800,4942.1001953125,4952.2001953125,Short,1,-104.24000000000363,3.24,stop_loss,1800
1770133920,1770134520,4952.8998046875,4967.7998046875,Long,1,145.75999999999635,3.24,take_profit,600
1770137160,1770137520,4996.6001953125,4981.7001953125,Short,1,145.75999999999635,3.24,take_profit,360
1770138960,1770139680,4978.8001953125,4968.7001953125,Long,1,-104.24000000000363,3.24,stop_loss,720
1770140400,1770140520,4955.9,4941.0,Short,1,145.75999999999635,3.24,take_profit,120
1770141000,1770141240,4966.8001953125,4956.7001953125,Long,1,-104.24000000000363,3.24,stop_loss,240
1770143040,1770143280,4944.50009765625,4929.60009765625,Short,1,145.75999999999635,3.24,take_profit,240
1770145920,1770146280,4932.6,4947.5,Long,1,145.75999999999635,3.24,take_profit,360
1770148320,1770148920,4946.6998046875,4931.7998046875,Short,1,145.75999999999635,3.24,take_profit,600
1770149880,1770150600,4953.49990234375,4968.39990234375,Long,1,145.75999999999635,3.24,take_profit,720
1770153480,1770153960,4967.4,4977.5,Short,1,-104.24000000000363,3.24,stop_loss,480
1770159600,1770159840,4983.8001953125,4973.7001953125,Long,1,-104.24000000000363,3.24,stop_loss,240
1770159960,1770160080,4932.9,4943.0,Short,1,-104.24000000000363,3.24,stop_loss,120
1770160440,1770161280,4957.3998046875,4947.2998046875,Long,1,-104.24000000000363,3.24,stop_loss,840
1770165120,1770165360,5000.1998046875,5010.2998046875,Short,1,-104.24000000000363,3.24,stop_loss,240
1770165960,1770166440,5020.70009765625,5035.60009765625,Long,1,145.75999999999635,3.24,take_profit,480
1770168960,1770169200,5039.1998046875,5049.2998046875,Short,1,-104.24000000000363,3.24,stop_loss,240
1770169680,1770170040,5068.6,5058.5,Long,1,-104.24000000000363,3.24,stop_loss,360
1770172560,1770172920,5064.50009765625,5074.60009765625,Short,1,-104.24000000000363,3.24,stop_loss,360
1770173520,1770174240,5062.4,5072.5,Short,1,-104.24000000000363,3.24,stop_loss,720
1770176040,1770179040,5087.99990234375,5077.89990234375,Long,1,-104.24000000000363,3.24,stop_loss,3000
1770183240,1770183600,5091.00009765625,5101.10009765625,Short,1,-104.24000000000363,3.24,stop_loss,360
1770184560,1770185160,5097.4,5082.5,Short,1,145.75999999999635,3.24,take_profit,600
1770186960,1770188400,5086.8001953125,5101.7001953125,Long,1,145.75999999999635,3.24,take_profit,1440
1770188880,1770189720,5085.50009765625,5095.60009765625,Short,1,-104.24000000000363,3.24,stop_loss,840
1770190440,1770190920,5091.1998046875,5101.2998046875,Short,1,-104.24000000000363,3.24,stop_loss,480
1770191040,1770193800,5104.8998046875,5099.29990234375,Long,1,-59.23902343750728,3.24,opposite_signal,2760
1770193800,1770195360,5099.29990234375,5107.99990234375,Short,1,-90.24000000000727,3.24,opposite_signal,1560
1770195360,1770195600,5107.99990234375,5097.89990234375,Long,1,-104.24000000000363,3.24,stop_loss,240
1770196200,1770196920,5096.1998046875,5081.2998046875,Short,1,145.75999999999635,3.24,take_profit,720
1770198120,1770198360,5086.6,5076.5,Long,1,-104.24000000000363,3.24,stop_loss,240
1770200160,1770201720,5072.1001953125,5082.2001953125,Short,1,-104.24000000000363,3.24,stop_loss,1560
1770203160,1770203760,5070.1001953125,5055.2001953125,Short,1,145.75999999999635,3.24,take_profit,600
1770203880,1770205920,5052.6,5067.5,Long,1,145.75999999999635,3.24,take_profit,2040
1770206880,1770208200,5064.1001953125,5074.2001953125,Short,1,-104.24000000000363,3.24,stop_loss,1320
1770209520,1770210480,5067.79990234375,5052.89990234375,Short,1,145.75999999999635,3.24,take_profit,960
1770211200,1770212400,5067.20009765625,5062.79990234375,Long,1,-47.24195312500728,3.24,opposite_signal,1200
1770212400,1770212880,5062.79990234375,5072.89990234375,Short,1,-104.24000000000363,3.24,stop_loss,480
1770213000,1770214080,5076.70009765625,5066.60009765625,Long,1,-104.24000000000363,3.24,stop_loss,1080
1770216600,1770216720,5033.8998046875,5023.7998046875,Long,1,-104.24000000000363,3.24,stop_loss,120
1770217200,1770217320,4998.1001953125,5008.2001953125,Short,1,-104.24000000000363,3.24,stop_loss,120
1770222720,1770222960,4950.70009765625,4940.60009765625,Long,1,-104.24000000000363,3.24,stop_loss,240
1770223560,1770223680,4907.1001953125,4892.2001953125,Short,1,145.75999999999635,3.24,take_profit,120
