Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-6800.244519133101,0.5815276701452918,4.966131391112881,-357.90760627016317,-94.78906567573742
MNQ,2min,10,40.0,-105.78481954953122,0.9915527834342117,2.5869702347239167,-10.578481954953123,0.5170567060703902
MNQ,5min,2,100.0,20840.384443577103,inf,0.0,10420.192221788551,979.6969684118878
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,119937.28265772972,1.5433371908693971,4.032992023723955,373.6363945723667,17.26103135326727
ES,2min,203,54.187192118226605,134612.30291142952,2.055073310126792,2.8856961923544366,663.1147926671405,25.997851205894325
ES,5min,82,51.21951219512195,61854.72003959932,2.2459030306950987,2.925536168259842,754.3258541414551,24.68872850874758
ES,15min,15,60.0,14077.718007227244,2.4316946196850275,0.7034735875228071,938.5145338151495,51.89148309346938
MES,1min,729,51.440329218106996,53710.80313538709,1.5897963339020196,2.0808437671524103,73.67737055608654,11.059563648824941
MES,2min,420,53.57142857142857,31872.612122343446,1.7119011221198879,0.686987935424964,75.88717171986535,12.004540905026793
MES,5min,195,50.76923076923077,12425.338603700873,1.5918928656709526,0.755476300136474,63.71968514718397,10.425354812901267
MES,15min,89,52.80898876404494,9600.244198499558,1.9029813111769693,0.6077631045231195,107.86791234269167,12.742761069186944
