Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,52.63157894736842,-8430.100648916374,0.5842902493345997,6.185932894162381,-443.6895078377039,-93.39604531942636
MNQ,2min,10,40.0,-95.28102443691387,0.9939046001784357,3.2105272517336956,-9.528102443691386,1.4437976007413038
MNQ,5min,2,100.0,26057.870554471374,inf,0.0,13028.935277235687,981.6222894173663
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,151107.69832216337,1.548819012677123,4.716988579185974,470.7404932154622,17.462667477495174
ES,2min,203,54.187192118226605,169015.46363928803,2.062064986483644,3.340259917907943,832.5884908339312,26.096154991089712
ES,5min,82,51.21951219512195,77621.39004949911,2.2537714194593703,3.6252842805861283,946.6023176768184,24.807192751438524
ES,15min,15,60.0,17652.572509034057,2.438799187287628,0.8756469844035066,1176.838167268937,52.092187571815565
MES,1min,729,51.85185185185185,69832.1589192335,1.620551296660985,2.4916800540171584,95.79171319510768,11.494716903667857
MES,2min,420,53.80952380952381,41392.66515292908,1.7492638323109093,0.7992780645506556,98.55396464983114,12.509366697457583
MES,5min,195,50.76923076923077,16252.19825462609,1.6278382630035422,0.9244499879629773,83.34460643397995,10.906257175741139
MES,15min,89,52.80898876404494,12329.16024812444,1.9386880461997522,0.7323434311291768,138.5298904283645,13.092107053706146
