Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-4355.460324458183,0.5734865955372377,3.1303143844767236,-229.23475391885174,-98.0637494552433
MNQ,2min,10,40.0,-121.54051221845702,0.9845371337775934,1.6399370211333137,-12.154051221845702,-1.5114250040037447
MNQ,5min,2,100.0,13014.155277235688,inf,0.0,6507.077638617844,976.4013467527601
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,73181.65916108133,1.5270326386676367,2.829163036167953,227.98024660773,16.731603291907792
ES,2min,203,53.69458128078818,83007.56181964379,2.0342748315651247,2.0570201828626202,408.90424541696444,25.615993086900897
ES,5min,82,51.21951219512195,38204.715024749545,2.222521144960344,1.8670512674067916,465.9111588384091,24.355823744383592
ES,15min,15,60.0,8715.43625451703,2.410533866701297,0.4452134922017576,581.0290836344686,51.341576421095375
MES,1min,729,50.06858710562414,29528.76945961665,1.5013923845647488,1.4434480298901908,40.5058565975537,9.737412473504685
MES,2min,420,52.38095238095239,17592.532576464542,1.604973040461821,0.5071781131058332,41.88698232491558,10.551772866240228
MES,5min,195,50.256410256410255,6685.049127313059,1.4894694795077805,0.5000780750031021,34.282303216990044,8.978259270339253
MES,15min,89,50.56179775280899,5506.870124062225,1.800060082096285,0.4189051229560643,61.874945214182304,11.69519115289373
