hard_stop,contracts,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_drawdown,max_daily_drawdown,trading_days,hard_stop_hits,atr_stop_hits,tp_hits,best_trade,worst_trade,pnl_per_day
100,1,1024,87,937,8.49609375,320716.637518979,4928.192385275583,-115.29999999999995,3.968606211432742,4035.500000000102,-2421.3,62,937,0,87,13187.11979727056,-115.3,5172.848992241597
150,1,989,90,899,9.100101112234581,298817.3614742714,4971.356238602984,-165.29999999999998,3.0108203944711542,7218.00881206835,-3471.300000000001,62,899,0,90,13187.11979727056,-165.3,4819.6348624882485
200,1,970,98,872,10.103092783505154,286844.8244289409,4842.718616621827,-215.30000000000004,2.527870351743801,8640.979716244852,-4521.300000000002,62,872,0,98,13187.11979727056,-215.3,4626.5294262732405
300,1,915,101,814,11.03825136612022,228744.2685124934,4805.925430816752,-315.30000000000007,1.8912547252782124,11666.09999999957,-6621.300000000002,62,814,0,101,13187.11979727056,-315.3,3689.4236856853777
400,1,876,102,774,11.643835616438356,170002.77548923416,4818.087994992481,-415.30000000000007,1.5288750994400875,16096.75236637966,-8306.000000000002,62,774,0,102,13187.11979727056,-415.3,2741.9802498263575
500,1,838,101,737,12.052505966587113,106621.8870840459,4815.82165429749,-515.3000000000002,1.2807493338418434,22344.682823192812,-10305.999999999998,62,737,0,101,13187.11979727056,-515.3,1719.7078561942888
