Symbol,Timeframe,Trades,Win_Rate,Total_PnL,Profit_Factor,Max_Drawdown,Avg_Trade,Sharpe_Ratio
MNQ,1min,19,47.368421052631575,-2725.604194674911,0.5594048149691863,1.9023407803650576,-143.4528523513111,-102.90862023036009
MNQ,2min,10,40.0,-132.04430733107472,0.9722103514556344,1.0006458571960923,-13.204430733107472,-4.277024428398119
MNQ,5min,2,100.0,7796.669166341413,inf,0.0,3898.3345831707065,973.2883785347797
MNQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,1min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,5min,0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,15min,0,0.0,0.0,0.0,0.0,0.0,0.0
ES,1min,321,49.84423676012461,42011.24349664876,1.4985583523020918,1.8771422900785322,130.87614796463788,15.913887289461524
ES,2min,203,53.69458128078818,48604.401091786254,1.99783633762989,1.374390055533336,239.4305472501786,24.924973009392097
ES,5min,82,51.21951219512195,22438.045014849737,2.181762288566331,1.1554160962933393,273.6346953030456,23.805559891589876
ES,15min,15,60.0,5140.581752710217,2.3734718356906668,0.273040095321058,342.70545018068117,50.42889808612255
MES,1min,729,48.148148148148145,13407.413675770042,1.3572786012179996,1.0067244738349874,18.391513958532293,7.37340871898563
MES,2min,420,50.23809523809524,8072.479545878733,1.4328160036857476,0.3784159140413986,19.220189394949365,8.043765387298544
MES,5min,195,49.743589743589745,2858.1894763878277,1.3259472997747483,0.3285069275758824,14.657381930193988,6.401104100959324
MES,15min,89,49.43820224719101,2777.9540744373353,1.6327220412717147,0.29165499410851603,31.212967128509387,9.8333884929929
