Timeframe,Strategy,Params,Exit,Contracts,ATR_Period,Trades,Wins,Losses,Win_Rate,PnL,Profit_Factor,Avg_Win,Avg_Loss,Max_DD,Max_Daily_DD,Costs,Final_Equity
5min,RSI_Reversion,rsi_period=5|rsi_buy=30|rsi_sell=70,SL100_TP200,3,10,401,164,237,40.9,-3351.79,0.95,431.48,312.72,10921.87,2233.81,3897.72,146648.21
5min,RSI_Reversion,rsi_period=5|rsi_buy=30|rsi_sell=70,SL100_TP200,3,14,401,164,237,40.9,-3351.79,0.95,431.48,312.72,10921.87,2233.81,3897.72,146648.21
3min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL50_TP150_Tr1x,1,10,200,54,146,27.0,-3352.19,0.35,33.93,35.51,3352.19,423.49,648.0,146647.81
5min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL50_TP150_Tr1x,1,10,154,33,121,21.43,-3354.28,0.33,49.98,41.35,3665.57,538.57,498.96,146645.72
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP200,1,5,948,431,517,45.46,-3357.54,0.93,96.23,86.71,4658.74,1941.84,3071.52,146642.46
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP200,1,10,948,431,517,45.46,-3357.54,0.93,96.23,86.71,4658.74,1941.84,3071.52,146642.46
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP200,1,14,948,431,517,45.46,-3357.54,0.93,96.23,86.71,4658.74,1941.84,3071.52,146642.46
5min,Momentum,lookback=3|atr_mult=1.5,SL50_TP150,3,14,355,90,265,25.35,-3357.61,0.92,437.28,161.18,7694.75,2115.36,3450.6,146642.39
3min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL50_TP100,3,5,217,71,146,32.72,-3360.24,0.86,287.28,162.72,4312.8,1502.64,2109.24,146639.76
3min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL50_TP100,3,10,217,71,146,32.72,-3360.24,0.86,287.28,162.72,4312.8,1502.64,2109.24,146639.76
3min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL50_TP100,3,14,217,71,146,32.72,-3360.24,0.86,287.28,162.72,4312.8,1502.64,2109.24,146639.76
5min,RSI_Reversion,rsi_period=14|rsi_buy=20|rsi_sell=80,SL100_Trail2x,3,14,23,6,17,26.09,-3361.5,0.26,200.44,268.48,3992.95,798.46,223.56,146638.5
1min,RSI_Reversion,rsi_period=14|rsi_buy=25|rsi_sell=75,SL50_TP150_Tr1x,1,5,239,54,185,22.59,-3361.83,0.31,27.65,26.24,3378.11,479.74,774.36,146638.17
3min,Momentum,lookback=5|atr_mult=2.0,SL100_TP200,1,10,335,107,228,31.94,-3364.42,0.85,175.2,96.98,3751.88,1573.29,1085.4,146635.58
