symbol,contracts,hard_stop,ema_fast,ema_slow,stoch_lo,stoch_hi,sl_atr_mult,tp_rr,starting_equity,final_equity,total_pnl,total_return_pct,total_trades,win_count,loss_count,win_rate,avg_win,avg_loss,avg_trade,profit_factor,gross_profit,gross_loss,total_fees,fee_per_trade,max_drawdown_pct,max_drawdown_dollars,max_daily_loss,max_daily_profit,avg_daily_pnl,sharpe_ratio,trading_days,rt_cost_per_trade
MNQ,1,100,21,55,25,75,1.5,2.5,10000.0,48049.99999999826,38049.9999999989,380.4999999999826,1500,644,856,42.93333333333334,225.09999999999994,-124.90000000000003,25.366666666665935,1.3558921903878582,144964.40000000174,106914.39999999861,37350.000000001055,24.900000000000702,21.87398846131865,2297.5999999999913,-1522.1000000000013,2176.8999999999996,309.3495934959349,8.647001100533657,123,24.9
MNQ,1,100,21,55,25,75,2.0,2.5,10000.0,48049.99999999826,38049.9999999989,380.4999999999826,1500,644,856,42.93333333333334,225.09999999999994,-124.90000000000003,25.366666666665935,1.3558921903878582,144964.40000000174,106914.39999999861,37350.000000001055,24.900000000000702,21.87398846131865,2297.5999999999913,-1522.1000000000013,2176.8999999999996,309.3495934959349,8.647001100533657,123,24.9
MNQ,1,100,21,55,25,75,2.5,2.5,10000.0,48049.99999999826,38049.9999999989,380.4999999999826,1500,644,856,42.93333333333334,225.09999999999994,-124.90000000000003,25.366666666665935,1.3558921903878582,144964.40000000174,106914.39999999861,37350.000000001055,24.900000000000702,21.87398846131865,2297.5999999999913,-1522.1000000000013,2176.8999999999996,309.3495934959349,8.647001100533657,123,24.9
MES,3,100,21,55,25,75,2.0,2.5,10000.0,35982.120000002426,25982.1200000024,259.82120000002425,1052,440,612,41.825095057034225,228.31000000001163,-121.69000000000456,24.697832699622055,1.3488737319783608,100456.40000000435,74474.28000000218,22817.87999999974,21.689999999999753,19.804529932451267,2144.080000000062,-1247.0400000000413,1461.4100000000635,211.23674796749867,7.410951828750116,123,21.689999999999998
MES,3,100,21,55,25,75,2.5,2.5,10000.0,35982.120000002426,25982.1200000024,259.82120000002425,1052,440,612,41.825095057034225,228.31000000001163,-121.69000000000456,24.697832699622055,1.3488737319783608,100456.40000000435,74474.28000000218,22817.87999999974,21.689999999999753,19.804529932451267,2144.080000000062,-1247.0400000000413,1461.4100000000635,211.23674796749867,7.410951828750116,123,21.689999999999998
MES,3,100,21,55,25,75,1.5,2.5,10000.0,35875.49754013712,25875.497540137098,258.7549754013712,1053,440,613,41.78537511870845,228.2890697011609,-121.65039662051187,24.5731220704056,1.3469881996053503,100447.19066851003,74571.69312837315,22839.569999999738,21.689999999999753,19.804529932451267,2144.080000000062,-1247.0400000000413,1461.4100000000635,210.36989870030112,7.366830679672157,123,21.689999999999998
MES,4,100,21,55,25,75,1.5,2.5,10000.0,32819.000000001084,22819.00000000028,228.19000000001085,1175,498,677,42.38297872340426,221.07999999999993,-128.92000000000004,19.420425531915132,1.2614493959819117,110097.84000000072,87278.83999999905,33980.999999998974,28.919999999999128,22.526843131710823,2485.720000000003,-1068.1200000000003,1345.1199999999994,185.5203252032518,5.803293124860166,123,28.92
MES,4,100,21,55,25,75,2.0,2.5,10000.0,32819.000000001084,22819.00000000028,228.19000000001085,1175,498,677,42.38297872340426,221.07999999999993,-128.92000000000004,19.420425531915132,1.2614493959819117,110097.84000000072,87278.83999999905,33980.999999998974,28.919999999999128,22.526843131710823,2485.720000000003,-1068.1200000000003,1345.1199999999994,185.5203252032518,5.803293124860166,123,28.92
MES,4,100,21,55,25,75,2.5,2.5,10000.0,32819.000000001084,22819.00000000028,228.19000000001085,1175,498,677,42.38297872340426,221.07999999999993,-128.92000000000004,19.420425531915132,1.2614493959819117,110097.84000000072,87278.83999999905,33980.999999998974,28.919999999999128,22.526843131710823,2485.720000000003,-1068.1200000000003,1345.1199999999994,185.5203252032518,5.803293124860166,123,28.92
MES,3,80,21,55,25,75,1.5,2.5,10000.0,29518.18999999756,19518.189999997492,195.18189999997563,1149,487,662,42.384682332463015,178.3099999999883,-101.68999999999545,16.98711053089425,1.2899367754436257,86836.9699999948,67318.77999999687,24921.809999999612,21.689999999999664,14.156919279137492,1824.7799999999552,-685.3499999999863,1096.3399999999133,158.68447154469354,6.5190908731941875,123,21.689999999999998
MES,3,80,21,55,25,75,2.0,2.5,10000.0,29518.18999999756,19518.189999997492,195.18189999997563,1149,487,662,42.384682332463015,178.3099999999883,-101.68999999999545,16.98711053089425,1.2899367754436257,86836.9699999948,67318.77999999687,24921.809999999612,21.689999999999664,14.156919279137492,1824.7799999999552,-685.3499999999863,1096.3399999999133,158.68447154469354,6.5190908731941875,123,21.689999999999998
MES,3,80,21,55,25,75,2.5,2.5,10000.0,29518.18999999756,19518.189999997492,195.18189999997563,1149,487,662,42.384682332463015,178.3099999999883,-101.68999999999545,16.98711053089425,1.2899367754436257,86836.9699999948,67318.77999999687,24921.809999999612,21.689999999999664,14.156919279137492,1824.7799999999552,-685.3499999999863,1096.3399999999133,158.68447154469354,6.5190908731941875,123,21.689999999999998
MES,3,100,21,55,25,75,2.0,2.0,10000.0,29109.730000001382,19109.730000001844,191.0973000000138,1083,503,580,46.445060018467224,178.31000000000907,-121.69000000000459,17.645180055403365,1.2707519956022062,89689.93000000551,70580.2000000021,23490.2699999997,21.68999999999972,17.078008443753674,1915.7700000000477,-1047.040000000032,1361.4100000000724,155.3636585366011,6.098439588936794,123,21.689999999999998
